Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,26
Base Time Seconds,1479856101
Base Time Fractional,.664305980
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,-3.385645930276e-10,Amp DC,.00000001,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000002483248,Volt DC,.01,T,2W,F,F,11/22/2016,23:08:21,.664305980
2,1.989025333327e-10,Amp DC,.0000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0500018298626,Volt DC,1,T,2W,F,F,11/22/2016,23:08:22,.967429680
3,7.278287972312e-10,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.0999909043312,Volt DC,1,T,2W,F,F,11/22/2016,23:08:23,.968547960
4,1.05000719941e-06,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1443506777287,Volt DC,1,T,2W,F,F,11/22/2016,23:08:24,.069046880
5,1.050006062542e-06,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.1937188506126,Volt DC,1,T,2W,F,F,11/22/2016,23:08:24,.169554980
6,1.050005835168e-06,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.2432112544775,Volt DC,1,T,2W,F,F,11/22/2016,23:08:24,.270036320
7,1.050003220371e-06,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.2926962971687,Volt DC,1,T,2W,F,F,11/22/2016,23:08:24,.370544980
8,1.050002197189e-06,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.3419111967087,Volt DC,1,T,2W,F,F,11/22/2016,23:08:24,.471006440
9,1.050000491887e-06,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.3899282515049,Volt DC,1,T,2W,F,F,11/22/2016,23:08:24,.571495780
10,1.049996399161e-06,Amp DC,.000001,5.5,F,F,F,F,F,F,Front,F,Main,0.4332529604435,Volt DC,1,T,2W,F,F,11/22/2016,23:08:24,.671974300
11,1.610510366845e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,0.4999915361404,Volt DC,1,T,2W,F,F,11/22/2016,23:08:25,.090151580
12,7.150761575758e-06,Amp DC,.00001,5.5,F,F,F,F,F,F,Front,F,Main,0.5500055551529,Volt DC,1,T,2W,F,F,11/22/2016,23:08:25,.174936900
13,1.469703511248e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.5999957323074,Volt DC,1,T,2W,F,F,11/22/2016,23:08:25,.572340360
14,3.495877899695e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.6499781608582,Volt DC,1,T,2W,F,F,11/22/2016,23:08:25,.656124700
15,7.392169936793e-05,Amp DC,.0001,5.5,F,F,F,F,F,F,Front,F,Main,0.6999829411507,Volt DC,1,T,2W,F,F,11/22/2016,23:08:25,.739866920
16,0.0001536108611617,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,0.7499864101410,Volt DC,1,T,2W,F,F,11/22/2016,23:08:26,.131286860
17,0.0003055963607039,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,0.7999935746193,Volt DC,1,T,2W,F,F,11/22/2016,23:08:26,.215041480
18,0.0005742073990405,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,0.8499758839607,Volt DC,1,T,2W,F,F,11/22/2016,23:08:26,.298773920
19,0.0009966051438823,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,0.8990392088890,Volt DC,1,T,2W,F,F,11/22/2016,23:08:26,.382516320
20,0.001908222329803,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.9499909281731,Volt DC,1,T,2W,F,F,11/22/2016,23:08:26,.773930020
21,0.00297025940381,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.9999733567238,Volt DC,1,T,2W,F,F,11/22/2016,23:08:26,.857695640
22,0.004101653583348,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,1.0499871969223,Volt DC,1,T,2W,F,F,11/22/2016,23:08:26,.941454020
23,0.00529694231227,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,1.0999736785889,Volt DC,1,T,2W,F,F,11/22/2016,23:08:27,.025195760
24,0.006545588839799,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,1.1499537229538,Volt DC,1,T,2W,F,F,11/22/2016,23:08:27,.108944760
25,0.007853257469833,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,1.1999669075012,Volt DC,1,T,2W,F,F,11/22/2016,23:08:27,.192684880
26,0.009189871139824,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,1.2499485015869,Volt DC,1,T,2W,F,F,11/22/2016,23:08:27,.276439960
